"filename", "language", "PostCSS", "TypeScript", "Markdown", "TypeScript JSX", "XML", "comment", "blank", "total"
"/home/nafiul-azam/lab_panel/src/components/workflow/TokenCard.tsx", "TypeScript JSX", 0, 0, 0, 42, 0, 0, 5, 47
"/home/nafiul-azam/lab_panel/src/constants/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/constants/navigation.ts", "TypeScript", 0, 226, 0, 0, 0, 0, 7, 233
"/home/nafiul-azam/lab_panel/src/constants/roles.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 3, 24
"/home/nafiul-azam/lab_panel/src/data/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/data/mockData.ts", "TypeScript", 0, 250, 0, 0, 0, 0, 11, 261
"/home/nafiul-azam/lab_panel/src/features/FEATURES.md", "Markdown", 0, 0, 20, 0, 0, 0, 3, 23
"/home/nafiul-azam/lab_panel/src/features/activity/ActivityTimelinePage.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 2, 15
"/home/nafiul-azam/lab_panel/src/features/activity/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/analytics/AnalyticsReportsPage.tsx", "TypeScript JSX", 0, 0, 0, 63, 0, 0, 2, 65
"/home/nafiul-azam/lab_panel/src/features/analytics/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/approval/ApprovalVerificationPage.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 2, 15
"/home/nafiul-azam/lab_panel/src/features/approval/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/barcode/BarcodeLabelsPage.tsx", "TypeScript JSX", 0, 0, 0, 73, 0, 0, 8, 81
"/home/nafiul-azam/lab_panel/src/features/barcode/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/dashboard/LabOverviewPage.tsx", "TypeScript JSX", 0, 0, 0, 424, 0, 0, 10, 434
"/home/nafiul-azam/lab_panel/src/features/dashboard/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/delivery/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/delivery/ReportDeliveryPage.tsx", "TypeScript JSX", 0, 0, 0, 51, 0, 0, 3, 54
"/home/nafiul-azam/lab_panel/src/features/mobile-quick-actions/MobileQuickActionsPage.tsx", "TypeScript JSX", 0, 0, 0, 119, 0, 0, 5, 124
"/home/nafiul-azam/lab_panel/src/features/mobile-quick-actions/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/notifications/NotificationsCenterPage.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 3, 23
"/home/nafiul-azam/lab_panel/src/features/notifications/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
